GENEID	barcode01.filtered.bam	barcode02.filtered.bam	barcode03.filtered.bam	barcode04.filtered.bam	barcode05.filtered.bam	barcode06.filtered.bam	barcode07.filtered.bam	barcode08.filtered.bam	barcode09.filtered.bam	barcode10.filtered.bam	barcode11.filtered.bam	barcode18.filtered.bam	barcode19.filtered.bam	barcode20.filtered.bam	barcode21.filtered.bam
BambuGene1249	2	6	6	3	4	0	0	1	12	1	7	0	0	0	0
BambuGene1251	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0
BambuGene1253	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0
BambuGene1259	1	1	1	0	0	0	0	0	7	0	4	0	0	0	0
BambuGene1261	0	0	0	0	0	0	0	0	0	0	0	9	8	2	4
BambuGene128	1	0	0	0	4	0	0	2	0	3	2	0	0	0	0
BambuGene1286	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene1293	1	0	1	0	0	0	0	0	0	0	0	0	1	2	1
BambuGene131	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
BambuGene1319	1	0	0	0	1	2	0	0	2	0	0	0	0	0	0
BambuGene1323	64	35	20	17	18	12	9	15	35	18	82	0	0	0	0
BambuGene1329	0	1	0	0	0	0	0	1	5	0	6	0	0	0	0
BambuGene1333	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene1335	492	320	255	1335	126	1910	863	193	488	156	934	0	0	0	0
BambuGene1347	4	5	6	0	0	0	3	0	2	0	2	0	1	0	0
BambuGene1351	1	0	1	0	0	1	0	0	0	0	1	0	1	2	0
BambuGene1357	0	4	1	0	0	0	0	0	3	0	0	0	0	0	0
BambuGene1361	1	0	0	0	0	0	0	0	4	0	5	0	0	0	0
BambuGene1366	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0
BambuGene1368	33	15	16	8	4	17	7	7	18	22	30	42	33	12	10
BambuGene1372	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0
BambuGene1378	29	9	28	43	8	25	12	9	24	8	32	24	17	34	21
BambuGene138	5	3	1	2	1	3	3	0	14	1	6	0	0	0	0
BambuGene1384	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BambuGene1386	8	3	4	1	0	0	0	0	0	0	1	0	0	0	0
BambuGene1388	0	0	0	2	1	2	0	0	0	0	1	0	0	0	0
BambuGene1396	88	32	40.99999	63	13	11	18	10	43	13	27.99999	154	187.00001	183	136.99999
BambuGene1400	15	1	1	3	0	0	0	0	0	0	0	0	0	0	0
BambuGene1419	0	0	0	0	5	0	0	11	0	5	1	0	0	0	0
BambuGene142	4	0	0	0	0	0	6	10	0	11	0	0	0	0	0
BambuGene1430	0	0	0	4	0	7	2	0	0	0	4	0	0	0	0
BambuGene1434	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene1436	7	1	0	1	0	3	0	0	6	0	1	0	0	0	0
BambuGene1444	9	1	1	6	4	3	3	0	2	5	5	3	2	0	0
BambuGene145	0	0	0	0	3	0	0	1	0	2	5	0	0	0	0
BambuGene1451	5	0	1	1	0	0	0	0	1	0	2	0	0	0	0
BambuGene1453	2	0	2	5	0	5	2	1	0	0	1	0	0	0	0
BambuGene1455	2	0	0	5	0	3	0	0	1	0	5	0	0	0	0
BambuGene1458	36	13	33	32	14	17	7	10	14	11	24	27	24	13	17
BambuGene1491	2	0	0	2	4	1	0	1	0	0	3	0	0	0	0
BambuGene1497	1	0	0	0	1	1	0	1	3	0	1	0	0	0	0
BambuGene1499	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
BambuGene1505	2	0	1	7	4	5	3	8	2	2	4	1	3	3	0
BambuGene1518	11	9	10	10	6	7	1	4	8	3	9	6	3	0	0
BambuGene1526	16	40	11	5	6	4	0	3	33	3	23	0	0	0	0
BambuGene1532	7	2	2	1	1	2	4	3	3	2	4	0	0	0	0
BambuGene1536	3	1	0	0	0	0	1	0	0	0	1	2	2	0	0
BambuGene1540	46	12	57	37	33	15	7	21	114	18	77	31	52	36	26
BambuGene155	0	0	0	0	2	3	0	4	0	1	1	0	0	0	0
BambuGene1553	6	1	4	3	1	3	2	5	6	6	5	0	0	0	0
BambuGene1557	2	3	2	3	0	0	0	1	1	1	4	0	0	0	0
BambuGene1566	0	1	2	0	0	1	0	1	1	0	0	0	0	0	0
BambuGene1574	25	11	23	22	3	7	1	6	9	3	12	3	7	3	7
BambuGene1579	9	2	4	6	1	0	1	0	1	0	0	0	0	0	0
BambuGene1583	27	14	13.00001	19	13	16	18	13	9	21	22	25	17	8	12
BambuGene1594	4	4	1	5	11	3	6	16	15	7	5	0	0	0	0
BambuGene1601	1	0	0	0	0	0	0	0	0	0	0	4	1	4	0
BambuGene161	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
BambuGene1612	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0
BambuGene163	1	2	2	3	2	3	0	4	3	2	1	0	0	0	0
BambuGene1632	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
BambuGene1634	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1
BambuGene1639	3	0	0	0	0	1	0	0	2	3	0	0	1	0	0
BambuGene1646	0	0	0	0	14	6	0	0	0	5	13	0	0	0	0
BambuGene1648	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene165	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
BambuGene1654	2	1	1	4	0	1	3	1	3	0	6	0	0	0	0
BambuGene1666	2	1	2	5	0	7	2	1	2	1	7	0	0	0	0
BambuGene1668	0	0	0	3	0	0	3	0	1	0	0	0	0	0	0
BambuGene1679	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0
BambuGene1687	0	0	0	1	0	0	0	0	7	0	5	0	0	0	0
BambuGene1690	0	0	0	0	0	0	0	0	2	0	0	2	2	1	0
BambuGene1703	0	0	1	0	1	0	0	0	3	1	0	0	0	0	0
BambuGene1707	0	0	0	0	0	7	1	1	2	0	0	0	0	0	0
BambuGene171	7	7	6	12	4	3	0	0	9	0	9	0	0	0	0
BambuGene1719	138	50	58	107	40	81	49	56	66	38	100	49	42	50	40
BambuGene1722	2	2	2	1	0	0	1	3	3	2	4	0	0	0	0
BambuGene1724	1	1	0	2	0	0	0	0	1	0	2	0	0	0	0
BambuGene1727	1	1	0	0	0	0	1	1	0	3	0	0	3	0	0
BambuGene1743	1	1	1	1	0	0	0	0	1	0	1	3	3	2	2
BambuGene1745	3	2	2	1	1	3	1	0	1	0	6	0	0	2	0
BambuGene1747	2	0	3	2	0	3	0	2	9	0	4	0	0	0	0
BambuGene1749	0	3	1	0	0	2	0	2	1	0	0	0	0	0	0
BambuGene1754	13	10	11	18	0	5	2	3	1	1	3	0	0	0	0
BambuGene1762	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0
BambuGene1781	0	1	2	1	2	0	0	2	0	3	2	0	0	0	0
BambuGene1791	1	4	2	1	0	1	0	0	0	0	0	0	0	0	0
BambuGene1793	1	0	0	5	1	1	6	3	2	6	3	0	0	0	0
BambuGene1801	1	0	1	2	10	8	1	8	1	4	17	0	0	0	0
BambuGene1812	0	0	0	3	1	2	4	3	0	7	3	0	0	0	0
BambuGene1814	0	0	0	0	11	2	9	21	4	14	7	0	0	0	0
BambuGene183	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0
BambuGene1831	0	0	0	0	0	0	0	0	0	0	0	9	6	15	2
BambuGene1834	3	4	10	16	2	1	1	0	3	0	3	0	0	0	0
BambuGene1838	6	0	1	0	0	0	0	1	0	0	1	0	0	0	0
BambuGene1840	2	1	0	0	0	0	0	0	0	0	2	8	6	9	6
BambuGene1854	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BambuGene1856	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BambuGene1861	2	5	0	28	1	9	7	3	13	3	17	0	0	0	0
BambuGene1868	3	2	0	3	2	2	1	0	1	0	2	0	0	0	0
BambuGene187	0	0	0	0	3	0	0	3	7	2	4	4	5	1	1
BambuGene1872	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0
BambuGene1894	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BambuGene1896	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene1898	6	0	0	0	0	0	1	1	1	0	5	0	0	0	1
BambuGene190	0	0	0	0	1	0	0	0	9	1	4	0	0	0	0
BambuGene1907	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
BambuGene1910	201	71.99999	155	140	51	57	14	30	128.99999	33	85	0	0	0	0
BambuGene1918	0	0	0	0	0	0	0	0	0	0	0	2	4	0	4
BambuGene1920	15	13	17	13	2	2	0	0	1	5	9	4	0	2	1
BambuGene1924	0	0	1	2	0	0	0	0	2	0	2	0	0	0	0
BambuGene194	66	37	69.00001	97	47	22	23	32	106	29	74.99999	117	70.99999	64	54
BambuGene1951	0	3	4	2	0	0	0	0	2	0	2	1	0	1	0
BambuGene1955	4	5	3	4	0	0	0	0	2	0	4	0	0	0	0
BambuGene1957	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0
BambuGene196	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0
BambuGene1960	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0
BambuGene1968	0	0	0	0	0	0	0	0	0	0	0	0	7	5	5
BambuGene1972	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene198	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
BambuGene1980	9	1	0	4	5	6	0	0	13	3	12	0	0	0	0
BambuGene1997	1	4	1	3	0	1	1	1	1	0	2	1	1	0	0
BambuGene2005	0	0	0	0	2	1	3	14	1	10	1	0	0	0	0
BambuGene2008	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0
BambuGene202	2	0	1	1	2	1	1	1	4	0	3	0	0	0	0
BambuGene2020	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
BambuGene2028	4	0	0	1	2	0	0	0	2	2	4	1	8	4	2
BambuGene2030	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0
BambuGene2040	5	3	0	2	1	2	3	2	5	5	2	1	1	0	0
BambuGene2042	3	1	1	2	33	4	2	0	12	4	20	0	0	0	0
BambuGene2049	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
BambuGene2065	19	7	8	9	4	3	0	2	28	4	27	0	0	0	0
BambuGene2074	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
BambuGene2079	10	7	7	10	1	2	3	1	3	2	6	1	2	10	0
BambuGene2100	0	2	0	0	0	0	0	0	1	0	5	7	5	3	3
BambuGene2113	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0
BambuGene2116	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0
BambuGene213	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
BambuGene2142	2	0	0	2	0	1	0	0	1	0	1	0	0	0	0
BambuGene2147	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene2150	2	0	0	3	0	3	0	0	4	0	0	0	0	0	0
BambuGene2157	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0
BambuGene2159	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
BambuGene2174	3	0	0	0	0	0	0	0	0	0	1	7	6	3	2
BambuGene2194	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
BambuGene2196	5	0	1	5	1	2	2	0	2	0	2	0	0	0	0
BambuGene220	9	0	0	0	0	0	8	0	0	2	0	0	0	0	0
BambuGene2210	11	3	2	2	9	0	0	0	7	3	32	0	0	0	0
BambuGene2219	4	0	0	1	0	0	0	1	0	2	0	0	0	0	0
BambuGene2235	4	0	7	8	4	3	1	1	7	1	9	0	0	0	0
BambuGene2250	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1
BambuGene2257	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
BambuGene226	6	1	2	1	0	6	4	2	2	1	3	1	2	1	0
BambuGene2280	6	5	15	18	4	2	0	2	1	1	3	38	39	84	36
BambuGene2290	0	0	1	1	1	1	0	0	6	0	1	9	4	6	6
BambuGene2300	13	5	8	10	5	6	2	6	16	0	16	2	4	1	0
BambuGene2312	0	0	0	0	0	6	1	0	0	0	3	3	0	3	0
BambuGene2316	1	1	0	0	0	1	0	1	4	1	2	3	0	0	1
BambuGene2319	0	0	0	3	0	1	2	3	1	6	0	0	0	0	0
BambuGene232	1	1	0	0	0	0	0	0	3	0	3	0	0	0	0
BambuGene2322	2	0	0	1	0	2	0	1	0	0	2	0	3	0	0
BambuGene2325	2	3	2	5	0	0	0	0	0	0	0	2	0	0	0
BambuGene2329	81	93	90	99	19	12	3	7	59	7	52	13	14	49	38
BambuGene2337	5	1	1	6	0	0	0	0	0	0	0	0	0	0	0
BambuGene2339	1	0	1	1	1	0	0	0	7	1	3	0	0	0	0
BambuGene2341	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
BambuGene2352	1	0	9	12	1	5	0	1	5	4	2	2	3	3	1
BambuGene2367	1	2	3	6	1	0	0	1	2	0	1	9	6	12	8
BambuGene2377	5	2	11	10	8	6	4	2	3	3	8	15	12	50	36
BambuGene2399	0	22	1	1	0	0	0	0	34	0	17	0	0	0	0
BambuGene2405	0	1	0	3	1	0	0	0	2	0	0	5	10	3	1
BambuGene2410	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0
BambuGene2426	0	0	0	0	0	0	0	0	0	0	0	73	56	60	50
BambuGene2430	3	0	2	3	0	2	0	1	1	0	1	0	4	1	0
BambuGene2438	2	2	2	2	0	3	0	2	1	0	3	0	0	0	0
BambuGene2449	0	0	4	2	0	1	0	0	1	0	2	0	0	1	0
BambuGene2459	17	10	8	7	2	5	2	1	0	0	2	40	41	19	23
BambuGene2462	3	0	1	2	0	1	0	0	1	1	0	0	0	0	0
BambuGene2477	0	1	0	0	0	0	0	1	0	0	0	4	0	3	6
BambuGene2483	3	2	4	2	0	0	0	0	0	0	1	0	1	7	0
BambuGene2488	1	0	0	0	4	6	3	1	3	0	9	1	7	1	0
BambuGene2500	11	19	2	18	0	0	0	0	0	0	0	0	0	0	0
BambuGene2502	55	21	23	153	5	177	60	21	92	26	293	0	0	0	0
BambuGene2511	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene2513	1	0	4	0	1	1	0	0	0	0	0	0	0	0	0
BambuGene2517	10	4	5	6	0	0	0	0	1	0	4	0	0	0	0
BambuGene2531	0	0	0	0	0	1	2	3	1	1	0	0	0	0	0
BambuGene2534	32	26	34	33	7	17	6	5	22	4	20	14	16	16	3
BambuGene2537	2	4	2	2	491	33	679	2988	211	1728	106	0	0	0	0
BambuGene2540	9	13	7	7	767	61	1750	6308	405	3073	264	0	0	0	0
BambuGene2544	4	8	13	11	6	1	0	2	16	2	7	0	0	0	0
BambuGene2546	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0
BambuGene2548	7	3	5	1	2	3	4	3	9	1	2	4	3	0	0
BambuGene2565	1168	447	897	953	271	340	152	203	624	201	467	2	3	0	2
BambuGene2568	15	4	4	6	3	4	5	6	9	6	9	9	7	7	9
BambuGene2574	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
BambuGene2578	1	1	0	0	5	2	8	36	20	27	1	0	0	0	0
BambuGene2580	0	0	0	0	6	5	0	0	0	35	1	0	0	0	0
BambuGene2581	3	1	0	0	32	18	1	15	0	20	31	0	0	0	0
BambuGene2587	4	2	3	1	1	0	1	0	0	0	1	0	0	0	1
BambuGene2590	36	17	18	29	13	13	7	16	43	9	26	15	29	3	7
BambuGene2603	0	2	10	1	3	1	1	1	3	7	1	0	1	1	0
BambuGene261	5	0	0	3	0	1	0	0	1	1	1	0	0	0	0
BambuGene2611	51	45	26	22	13	20	10.99999	15	49	23	79.99999	0	1	0	2
BambuGene2614	30	4	16	18	2	11	3	9	16	5	16	3	6	11	7
BambuGene2627	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0
BambuGene2631	0	0	0	0	2	1	3	3	3	1	1	0	0	0	0
BambuGene2634	2	2	0	13	0	4	3	1	3	0	15	0	0	0	0
BambuGene2639	0	0	0	0	0	0	0	0	0	0	0	2	2	3	1
BambuGene2654	23	9	15	21	7	0	1	0	10	1	6	0	0	0	0
BambuGene2663	4	1	12	9	2	1	0	0	1	0	2	0	0	0	0
BambuGene2670	80	45	56	54	122	40	73	148	113	162	85	0	3	0	1
BambuGene2674	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0
BambuGene2676	1	1	2	1	0	2	1	8	3	3	0	0	0	0	0
BambuGene268	4	1	6	3	0	0	2	1	1	1	0	0	0	0	0
BambuGene2689	7	0	0	0	0	2	1	1	0	3	0	0	0	0	0
BambuGene2691	2	0	1	1	4	1	1	0	0	5	2	0	0	0	0
BambuGene2698	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene27	32	23	30	16	11	19	11	15	23	12	27	42	39	39	29
BambuGene2730	1	0	0	3	2	2	0	8	2	5	3	0	1	0	0
BambuGene2745	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
BambuGene2747	37.99999	10	38	28	17	30	12	18	14	20	27	16	19	16	11
BambuGene2753	3	0	2	0	1	0	0	0	2	0	0	0	0	0	0
BambuGene2764	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene2767	0	0	0	2	0	1	3	0	0	0	4	0	0	0	0
BambuGene2778	2	0	0	1	0	0	0	0	2	0	1	0	0	0	0
BambuGene2783	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
BambuGene2790	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0
BambuGene2794	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
BambuGene2796	2	0	0	2	3	4	1	2	6	4	16	0	0	0	0
BambuGene2806	1	0	1	3	2	9	11	18	4	10	37	0	0	0	0
BambuGene2815	6	4	5	4	0	0	0	0	2	2	3	0	0	0	0
BambuGene2823	0	0	0	2	0	2	0	2	0	0	2	0	0	0	0
BambuGene2826	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
BambuGene2831	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene2835	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
BambuGene2839	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene2841	4	1	6	2	2	5	6	1	2	0	5	0	0	0	0
BambuGene2844	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0
BambuGene2848	2	0	0	1	3	0	0	0	0	1	0	0	0	0	0
BambuGene285	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
BambuGene2853	4	1	2	8	0	9	4	0	0	0	0	0	1	1	0
BambuGene2863	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0
BambuGene2883	23	10	13	31	2	3	0	4	8	3	7	6	5	0	5
BambuGene2887	41.99999	13	20.00001	33	8	11	10	7	26	17	16	4	12	7	3
BambuGene2896	8	2	10	4	5	3	0	1	5	2	7	0	0	0	0
BambuGene2898	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene29	0	1	4	0	0	0	0	0	0	0	2	0	0	0	0
BambuGene2912	0	0	3	0	1	1	0	0	5	0	0	0	0	0	0
BambuGene2915	5	2	0	2	2	1	0	2	2	1	0	1	0	0	0
BambuGene2930	2	2	4	4	0	1	0	2	2	0	3	11	10	31	19
BambuGene2932	3	2	1	1	0	0	10	6	1	10	3	0	0	0	0
BambuGene2936	3	2	1	0	1	1	0	0	1	0	6	0	0	0	0
BambuGene2938	86	43	100	98	71	78	20	35	194	42	126	0	0	0	0
BambuGene2955	2	0	0	1	0	0	0	0	1	0	3	0	0	0	0
BambuGene2970	1	0	0	0	0	1	1	0	1	0	0	2	7	2	1
BambuGene2973	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0
BambuGene2980	6	4	7	6	3	2	2	4	11	3	8	6	8	0	1
BambuGene2987	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene2995	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
BambuGene3001	0	0	1	0	4	1	0	1	4	0	2	0	0	0	0
BambuGene3015	0	0	0	0	2	1	3	6	0	3	0	5	7	7	2
BambuGene302	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
BambuGene3022	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
BambuGene3025	3	0	1	4	6	5	2	0	6	3	2	0	0	0	0
BambuGene3029	1	0	3	0	1	0	1	1	0	5	2	0	1	0	0
BambuGene3034	5	0	0	0	0	1	1	2	6	2	6	1	0	0	0
BambuGene3038	1	0	0	0	7	4	0	9	2	22	5	0	0	0	0
BambuGene3047	2	5	0	4	1	1	1	0	1	1	0	0	0	0	0
BambuGene3052	14	15	5	23	1	4	1	0	3	0	1	5	0	2	3
BambuGene3056	0	1	0	3	0	0	0	0	4	0	4	0	0	0	0
BambuGene3062	0	0	2	2	1	4	2	2	5	1	7	0	0	2	0
BambuGene3079	2	1	3	3	4	0	0	0	4	0	4	2	4	2	5
BambuGene3082	3	1	3	2	1	1	0	0	4	1	4	0	0	6	0
BambuGene3112	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
BambuGene3119	7	0	5	4	1	0	0	0	10	0	6	0	0	0	0
BambuGene3123	0	1	6	3	1	1	0	1	4	3	6	1	1	1	2
BambuGene3127	57	20	44	61	24	15	9	6	53	15	43	0	0	0	0
BambuGene314	1	1	0	0	4	2	0	0	15	4	16	0	0	0	0
BambuGene3143	6	2	1	0	0	0	0	0	0	0	0	0	1	0	0
BambuGene3146	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene3148	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
BambuGene3150	33	16	26	30	7	4	1	3	9	3	9	0	0	0	0
BambuGene3157	1	1	6	1	0	0	0	0	0	0	0	0	0	0	1
BambuGene3159	45	13	21	19	3	0	0	2	2	1	2	0	0	0	0
BambuGene3161	17	10	5	7	2	3	4	2	12	6	10	0	0	0	0
BambuGene3177	17	2	4	8	1	2	0	3	12	9	10	10	1	1	0
BambuGene3183	0	0	0	0	0	0	0	0	0	0	0	1	3	9	1
BambuGene3185	9	5	2	6	5	2	1	3	6	1	3	15	14	2	6
BambuGene3187	1	2	2	2	1	0	0	0	6	0	0	0	0	0	0
BambuGene3198	0	0	0	3	0	2	0	4	2	0	1	0	0	0	0
BambuGene3211	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
BambuGene3220	0	1	3	1	0	1	0	0	1	1	2	0	1	2	0
BambuGene3229	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0
BambuGene3245	4	3	2	4	1	1	2	2	2	1	9	2	2	4	2
BambuGene3247	1	0	1	0	0	0	0	0	0	0	0	2	1	1	3
BambuGene3253	0	0	0	0	0	7	0	0	0	12	0	0	1	0	0
BambuGene3257	4	1	8	6	4	3	3	2	1	9	4	0	0	0	0
BambuGene3266	1	1	0	0	0	0	0	0	0	1	3	0	0	0	0
BambuGene327	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene3275	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BambuGene3288	2	0	0	0	0	2	1	3	3	2	1	5	2	0	0
BambuGene3290	4	0	0	1	0	2	0	0	1	1	0	0	1	0	0
BambuGene3299	39	18	34	42	2	1	1	1	5	1	1	0	0	0	0
BambuGene3307	0	0	0	0	0	0	0	0	1	0	0	2	5	0	1
BambuGene3309	0	1	0	0	0	0	0	0	18	0	4	0	0	0	0
BambuGene3317	5	0	0	0	0	0	0	1	2	0	2	0	3	1	0
BambuGene3332	15	1	9	13	0	2	4	0	2	2	6	0	0	0	0
BambuGene3334	0	2	0	3	1	4	5	3	2	1	5	0	0	0	0
BambuGene3337	7	1	1	12	0	16	12	1	2	1	13	0	0	0	0
BambuGene334	5	2	3	7	0	0	0	0	2	1	1	0	2	1	1
BambuGene3343	6	2	4	3	0	0	0	0	3	0	1	0	0	0	0
BambuGene3349	12	4	2	4	3	2	0	0	0	0	2	0	0	0	0
BambuGene3351	1	0	0	0	0	0	0	0	0	0	0	4	3	3	2
BambuGene3379	0	1	0	1	0	2	0	0	2	0	6	3	3	5	8
BambuGene3385	0	0	0	0	1	0	0	0	3	1	11	0	0	0	0
BambuGene3393	11	2	5	13	22	28	16	6	5	30	29	0	0	0	0
BambuGene3405	5	0	5	4	4	6	2	1	12	4	8	0	0	0	0
BambuGene3415	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0
